Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2016-11-07 00:00:00;Sunny;5;0.8;;
;2016-11-08 00:00:00;Cloudy;4.5;1;;
;2016-11-09 00:00:00;Cloudy;9;4.5;;
;2016-11-10 00:00:00;Cloudy;10.5;1.3;;
;2016-11-11 00:00:00;Partly cloudy;8.5;0;;
;2016-11-12 00:00:00;Overcast;7;6;;
;2016-11-13 00:00:00;Overcast;8.5;0.3;;
;2016-11-14 00:00:00;Overcast;7;0.1;;
;2016-11-15 00:00:00;Overcast;9;0.9;;
;2016-11-16 00:00:00;Overcast;12.5;0.5;;
;2016-11-17 00:00:00;Overcast;12.5;1.1;;
;2016-11-18 00:00:00;Sunny;9;2.7;;
;2016-11-19 00:00:00;Partly cloudy;7;0.5;;
;2016-11-20 00:00:00;Overcast;11.5;2.4;;
;2016-11-21 00:00:00;Partly cloudy;12;0.6;;
;2016-11-22 00:00:00;Partly cloudy;9.5;0;;
;2016-11-23 00:00:00;Overcast;10.5;2.4;;
;2016-11-24 00:00:00;Overcast;10.5;1.1;;
;2016-11-25 00:00:00;Overcast;8;0.3;;
;2016-11-26 00:00:00;Partly cloudy;8.5;0;;
;2016-11-27 00:00:00;Partly cloudy;7.5;0;;
;2016-11-28 00:00:00;Sunny;4;0;;
;2016-11-29 00:00:00;Sunny;1;0;;
;2016-11-30 00:00:00;Sunny;4;0;;
;2016-12-01 00:00:00;Sunny;3.5;0;;
;2016-12-02 00:00:00;Sunny;2.5;0;;
;2016-12-03 00:00:00;Sunny;4;0;;
;2016-12-04 00:00:00;Sunny;3.5;0;;
;2016-12-05 00:00:00;Sunny;8;0;;
;2016-12-06 00:00:00;Sunny;9;0;;
;2016-12-07 00:00:00;Sunny;8;0;;
;2016-12-08 00:00:00;Sunny;7;0;;
;2016-12-09 00:00:00;Sunny;7.5;0;;
;2016-12-10 00:00:00;Sunny;7.5;0;;
;2016-12-11 00:00:00;Sunny;8;0.1;;
;2016-12-12 00:00:00;Partly cloudy;8;0.1;;
;2016-12-13 00:00:00;Partly cloudy;9;0;;
;2016-12-14 00:00:00;Partly cloudy;7;0;;
;2016-12-15 00:00:00;Mist;7.5;0;;
;2016-12-16 00:00:00;Sunny;7.5;0;;
;2016-12-17 00:00:00;Sunny;7;0;;
;2016-12-18 00:00:00;Sunny;3.5;0;;
;2016-12-19 00:00:00;Cloudy;3;0;;
;2016-12-20 00:00:00;Sunny;2.5;0;;
;2016-12-21 00:00:00;Overcast;4.5;1.2;;
;2016-12-22 00:00:00;Partly cloudy;8;5.3;;
;2016-12-23 00:00:00;Mist;6;0;;
;2016-12-24 00:00:00;Sunny;8.5;0.2;;
;2016-12-25 00:00:00;Mist;8;0;;
;2016-12-26 00:00:00;Overcast;8.5;0;;
;2016-12-27 00:00:00;Sunny;4;0;;
;2016-12-28 00:00:00;Sunny;3.5;0;;
;2016-12-29 00:00:00;Sunny;2;0;;
;2016-12-30 00:00:00;Sunny;2;0;;
;2016-12-31 00:00:00;Sunny;0;0;;
;2017-01-01 00:00:00;Sunny;0.5;0.1;;
;2017-01-02 00:00:00;Overcast;2.5;0;;
;2017-01-03 00:00:00;Sunny;0.5;0;;
;2017-01-04 00:00:00;Sunny;1.5;0.1;;
;2017-01-05 00:00:00;Sunny;2.5;0.1;;
;2017-01-06 00:00:00;Sunny;0;0;;
;2017-01-07 00:00:00;Cloudy;-0.5;0.1;;
;2017-01-08 00:00:00;Fog;3.5;1.4;;
;2017-01-09 00:00:00;Fog;7;2;;
;2017-01-10 00:00:00;Cloudy;6.5;0.6;;
;2017-01-11 00:00:00;Overcast;8.5;0;;
;2017-01-12 00:00:00;Overcast;6.5;2.3;;
;2017-01-13 00:00:00;Partly cloudy;4;0;;
;2017-01-14 00:00:00;Partly cloudy;2.5;0.4;;
;2017-01-15 00:00:00;Fog;4.5;8.3;;
;2017-01-16 00:00:00;Overcast;4;4.2;;
;2017-01-17 00:00:00;Sunny;0.5;0;;
;2017-01-18 00:00:00;Sunny;-1.5;0;;
;2017-01-19 00:00:00;Sunny;-2;0;;
;2017-01-20 00:00:00;Sunny;-2;0;;
;2017-01-21 00:00:00;Sunny;-0.5;0;;
;2017-01-22 00:00:00;Sunny;1;0;;
;2017-01-23 00:00:00;Sunny;0.5;0;;
;2017-01-24 00:00:00;Partly cloudy;0;0;;
;2017-01-25 00:00:00;Sunny;-1;0;;
