Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2019-12-26 00:00:00;Patchy rain possible;9;0.1;;
;2019-12-27 00:00:00;Overcast;9.5;0;;
;2019-12-28 00:00:00;Overcast;6.5;0;;
;2019-12-29 00:00:00;Partly cloudy;4;0;;
;2019-12-30 00:00:00;Partly cloudy;6.5;0;;
;2019-12-31 00:00:00;Partly cloudy;6;0;;
;2020-01-01 00:00:00;Light rain shower;8.5;1.9;;
;2020-01-02 00:00:00;Overcast;9;0;;
;2020-01-03 00:00:00;Patchy rain possible;9.5;0.7;;
;2020-01-04 00:00:00;Partly cloudy;5;0;;
;2020-01-05 00:00:00;Partly cloudy;6.5;0;;
;2020-01-06 00:00:00;Partly cloudy;5;0;;
;2020-01-07 00:00:00;Fog;9;0.2;;
;2020-01-08 00:00:00;Overcast;11.5;0;;
;2020-01-09 00:00:00;Light rain;9.5;7.8;;
;2020-01-10 00:00:00;Overcast;7.5;0.8;;
;2020-01-11 00:00:00;Overcast;5.5;0;;
;2020-01-12 00:00:00;Patchy rain possible;7;0.5;;
;2020-01-13 00:00:00;Light drizzle;8.5;1;;
;2020-01-14 00:00:00;Light rain;7.5;3.6;;
;2020-01-15 00:00:00;Patchy light rain;9;1.2;;
;2020-01-16 00:00:00;Cloudy;9.5;0;;
;2020-01-17 00:00:00;Patchy rain possible;7.5;11.5;;
;2020-01-18 00:00:00;Overcast;6.5;0;;
;2020-01-19 00:00:00;Partly cloudy;4;0;;
;2020-01-20 00:00:00;Partly cloudy;4.5;0;;
;2020-01-21 00:00:00;Partly cloudy;2;0;;
;2020-01-22 00:00:00;Partly cloudy;2.5;0;;
;2020-01-23 00:00:00;Overcast;2.5;0;;
;2020-01-24 00:00:00;Cloudy;7;0;;
;2020-01-25 00:00:00;Cloudy;8;0;;
;2020-01-26 00:00:00;Overcast;8.5;0.1;;
;2020-01-27 00:00:00;Light rain shower;9.5;19.6;;
;2020-01-28 00:00:00;Light rain shower;7;4.2;;
;2020-01-29 00:00:00;Partly cloudy;8.5;0.4;;
;2020-01-30 00:00:00;Light rain;10.5;7.7;;
;2020-01-31 00:00:00;Patchy rain possible;12;0.3;;
;2020-02-01 00:00:00;Light drizzle;13;10.1;;
;2020-02-02 00:00:00;Light rain;13.5;11.6;;
;2020-02-03 00:00:00;Patchy rain possible;12;0.6;;
;2020-02-04 00:00:00;Light rain shower;6.5;4.4;;
;2020-02-05 00:00:00;Cloudy;6;0;;
;2020-02-06 00:00:00;Partly cloudy;5;0;;
;2020-02-07 00:00:00;Cloudy;6.5;0;;
;2020-02-08 00:00:00;Light drizzle;7.5;1.5;;
;2020-02-09 00:00:00;Light drizzle;8;1.3;;
;2020-02-10 00:00:00;Light rain shower;10.5;1;;
;2020-02-11 00:00:00;Patchy light rain;6.5;4.4;;
;2020-02-12 00:00:00;Light rain shower;7;1;;
;2020-02-13 00:00:00;Light rain;8.5;5;;
;2020-02-14 00:00:00;Partly cloudy;9.5;0;;
;2020-02-15 00:00:00;Partly cloudy;10;0;;
;2020-02-16 00:00:00;Overcast;13.5;1;;
;2020-02-17 00:00:00;Light rain shower;8;4.3;;
;2020-02-18 00:00:00;Light rain shower;7.5;1.4;;
;2020-02-19 00:00:00;Light rain shower;10;1.5;;
;2020-02-20 00:00:00;Light rain shower;8;1.3;;
;2020-02-21 00:00:00;Partly cloudy;6;0;;
;2020-02-22 00:00:00;Partly cloudy;9;0;;
;2020-02-23 00:00:00;Overcast;11;0;;
;2020-02-24 00:00:00;Overcast;9.5;0.2;;
;2020-02-25 00:00:00;Patchy rain possible;8;12.8;;
;2020-02-26 00:00:00;Light rain shower;5.5;1.2;;
;2020-02-27 00:00:00;Light rain shower;7.5;10.6;;
;2020-02-28 00:00:00;Light rain;7;2.1;;
;2020-02-29 00:00:00;Light rain shower;8;14.1;;
;2020-03-01 00:00:00;Moderate rain;7;8.7;;
;2020-03-02 00:00:00;Moderate rain;7;23.8;;
;2020-03-03 00:00:00;Light rain;5.5;2.3;;
;2020-03-04 00:00:00;Light rain;6.5;2.2;;
;2020-03-05 00:00:00;Light rain shower;9;21.5;;
;2020-03-06 00:00:00;Light rain;6.5;2;;
;2020-03-07 00:00:00;Overcast;6.5;0.6;;
;2020-03-08 00:00:00;Light drizzle;8;1.9;;
;2020-03-09 00:00:00;Patchy rain possible;7.5;0.6;;
;2020-03-10 00:00:00;Patchy rain possible;10.5;6.3;;
;2020-03-11 00:00:00;Light rain shower;13.5;1.2;;
;2020-03-12 00:00:00;Light rain shower;8.5;0.5;;
;2020-03-13 00:00:00;Overcast;7;0;;
;2020-03-14 00:00:00;Light rain shower;8.5;1;;
;2020-03-15 00:00:00;Partly cloudy;10;0;;
;2020-03-16 00:00:00;Moderate rain;9;14;;
;2020-03-17 00:00:00;Light rain shower;12;1.3;;
;2020-03-18 00:00:00;Partly cloudy;12.5;0.1;;
;2020-03-19 00:00:00;Patchy rain possible;14.5;5.9;;
;2020-03-20 00:00:00;Partly cloudy;14.5;2.7;;
;2020-03-21 00:00:00;Cloudy;11;0;;
;2020-03-22 00:00:00;Overcast;7;0;;
;2020-03-23 00:00:00;Partly cloudy;9.5;0;;
;2020-03-24 00:00:00;Sunny;7.5;0;;
;2020-03-25 00:00:00;Sunny;6.5;0;;
;2020-03-26 00:00:00;Partly cloudy;5.5;0;;
;2020-03-27 00:00:00;Partly cloudy;7;0.1;;
;2020-03-28 00:00:00;Cloudy;8.5;0.2;;
;2020-03-29 00:00:00;Patchy rain possible;6;0.4;;
;2020-03-30 00:00:00;Sunny;4;0;;
;2020-03-31 00:00:00;Sunny;6;0;;
;2020-04-01 00:00:00;Sunny;7;0;;
;2020-04-02 00:00:00;Partly cloudy;6.5;0;;
;2020-04-03 00:00:00;Light rain shower;8.5;0.7;;
;2020-04-04 00:00:00;Partly cloudy;10;0;;
;2020-04-05 00:00:00;Sunny;12.5;0;;
;2020-04-06 00:00:00;Light rain;12;4.1;;
;2020-04-07 00:00:00;Overcast;14.5;0;;
;2020-04-08 00:00:00;Partly cloudy;16;0;;
;2020-04-09 00:00:00;Partly cloudy;16.5;0;;
;2020-04-10 00:00:00;Partly cloudy;17;0;;
;2020-04-11 00:00:00;Partly cloudy;17.5;0.1;;
;2020-04-12 00:00:00;Patchy rain possible;16.5;0.8;;
;2020-04-13 00:00:00;Moderate or heavy rain shower;14.5;9.8;;
;2020-04-14 00:00:00;Partly cloudy;9.5;0;;
;2020-04-15 00:00:00;Sunny;11.5;0;;
;2020-04-16 00:00:00;Moderate rain at times;15.5;1.2;;
;2020-04-17 00:00:00;Patchy rain possible;15.5;7.4;;
;2020-04-18 00:00:00;Partly cloudy;15;0.2;;
;2020-04-19 00:00:00;Light rain shower;14.5;12.8;;
;2020-04-20 00:00:00;Light rain shower;15;9;;
;2020-04-21 00:00:00;Cloudy;15;0.3;;
;2020-04-22 00:00:00;Cloudy;16.5;0;;
;2020-04-23 00:00:00;Patchy rain possible;16.5;1.2;;
;2020-04-24 00:00:00;Partly cloudy;16;0.1;;
;2020-04-25 00:00:00;Moderate or heavy rain shower;16.5;12.5;;
;2020-04-26 00:00:00;Partly cloudy;15.5;0;;
;2020-04-27 00:00:00;Light rain shower;15.5;3.8;;
;2020-04-28 00:00:00;Patchy rain possible;13;1.9;;
;2020-04-29 00:00:00;Light rain shower;11;5.1;;
;2020-04-30 00:00:00;Moderate or heavy rain shower;11;10.2;;
;2020-05-01 00:00:00;Light rain shower;11.5;3.2;;
;2020-05-02 00:00:00;Light rain shower;12.5;6;;
;2020-05-03 00:00:00;Light rain shower;16;5.1;;
;2020-05-04 00:00:00;Overcast;16;0.2;;
;2020-05-05 00:00:00;Patchy rain possible;17;15.6;;
;2020-05-06 00:00:00;Overcast;15;0.1;;
;2020-05-07 00:00:00;Partly cloudy;15;0;;
;2020-05-08 00:00:00;Patchy rain possible;17;1;;
;2020-05-09 00:00:00;Overcast;18.5;5.8;;
;2020-05-10 00:00:00;Moderate or heavy rain shower;18.5;17.6;;
;2020-05-11 00:00:00;Light rain;11;11;;
;2020-05-12 00:00:00;Cloudy;9.5;0;;
;2020-05-13 00:00:00;Overcast;10.5;0;;
;2020-05-14 00:00:00;Partly cloudy;10.5;0;;
;2020-05-15 00:00:00;Light drizzle;10.5;6.7;;
;2020-05-16 00:00:00;Partly cloudy;12.5;0;;
;2020-05-17 00:00:00;Partly cloudy;14;0;;
;2020-05-18 00:00:00;Partly cloudy;15.5;0;;
;2020-05-19 00:00:00;Cloudy;16;0;;
;2020-05-20 00:00:00;Partly cloudy;18.5;0;;
;2020-05-21 00:00:00;Partly cloudy;21.5;0;;
;2020-05-22 00:00:00;Patchy rain possible;18.5;0.6;;
;2020-05-23 00:00:00;Patchy rain possible;15;0.6;;
;2020-05-24 00:00:00;Partly cloudy;14;0;;
;2020-05-25 00:00:00;Partly cloudy;16;0;;
;2020-05-26 00:00:00;Sunny;17.5;0;;
;2020-05-27 00:00:00;Partly cloudy;17.5;0;;
;2020-05-28 00:00:00;Partly cloudy;18.5;0;;
;2020-05-29 00:00:00;Sunny;17.5;0;;
;2020-05-30 00:00:00;Sunny;17.5;0;;
;2020-05-31 00:00:00;Partly cloudy;17;0;;
;2020-06-01 00:00:00;Partly cloudy;18;0;;
;2020-06-02 00:00:00;Partly cloudy;20.5;0;;
;2020-06-03 00:00:00;Partly cloudy;18.5;0.3;;
;2020-06-04 00:00:00;Light rain shower;14;9.6;;
;2020-06-05 00:00:00;Patchy rain possible;13.5;0.3;;
;2020-06-06 00:00:00;Patchy rain possible;13;1;;
;2020-06-07 00:00:00;Light rain shower;12.5;8.2;;
;2020-06-08 00:00:00;Light rain shower;14.5;4.5;;
;2020-06-09 00:00:00;Patchy rain possible;14;0.8;;
;2020-06-10 00:00:00;Light rain;12.5;4;;
;2020-06-11 00:00:00;Light rain shower;12;6.9;;
;2020-06-12 00:00:00;Moderate or heavy rain shower;14.5;12.7;;
;2020-06-13 00:00:00;Light rain shower;15.5;2.8;;
;2020-06-14 00:00:00;Moderate or heavy rain shower;15.5;11;;
;2020-06-15 00:00:00;Light rain shower;16;7.2;;
;2020-06-16 00:00:00;Moderate or heavy rain shower;16;18;;
;2020-06-17 00:00:00;Moderate or heavy rain shower;15;14.6;;
;2020-06-18 00:00:00;Moderate or heavy rain shower;15;13.4;;
;2020-06-19 00:00:00;Light rain shower;16;2.6;;
;2020-06-20 00:00:00;Patchy rain possible;16;0.6;;
;2020-06-21 00:00:00;Light rain shower;16;2;;
;2020-06-22 00:00:00;Partly cloudy;16.5;0;;
;2020-06-23 00:00:00;Cloudy;19;0;;
;2020-06-24 00:00:00;Partly cloudy;23.5;0;;
;2020-06-25 00:00:00;Patchy rain possible;25.5;0.4;;
;2020-06-26 00:00:00;Patchy rain possible;19;1.5;;
;2020-06-27 00:00:00;Light rain shower;17.5;1.7;;
;2020-06-28 00:00:00;Light rain shower;16.5;2.3;;
;2020-06-29 00:00:00;Patchy rain possible;15;1.1;;
;2020-06-30 00:00:00;Light rain shower;17;0.3;;
;2020-07-01 00:00:00;Light rain shower;18;0.4;;
;2020-07-02 00:00:00;Light rain shower;16.5;2.1;;
;2020-07-03 00:00:00;Patchy rain possible;15.5;0.1;;
;2020-07-04 00:00:00;Mist;17;0;;
;2020-07-05 00:00:00;Patchy rain possible;20;0.1;;
;2020-07-06 00:00:00;Overcast;15.5;0.1;;
;2020-07-07 00:00:00;Partly cloudy;16;0;;
;2020-07-08 00:00:00;Partly cloudy;19;0;;
;2020-07-09 00:00:00;Partly cloudy;22;0;;
;2020-07-10 00:00:00;Light rain shower;18.5;0.3;;
;2020-07-11 00:00:00;Partly cloudy;16.5;0.1;;
;2020-07-12 00:00:00;Partly cloudy;17.5;0;;
;2020-07-13 00:00:00;Partly cloudy;19;0;;
;2020-07-14 00:00:00;Partly cloudy;17.5;0.5;;
;2020-07-15 00:00:00;Patchy rain possible;16.5;0.4;;
;2020-07-16 00:00:00;Mist;16.5;0.2;;
;2020-07-17 00:00:00;Patchy rain possible;18.5;0.5;;
;2020-07-18 00:00:00;Partly cloudy;21.5;0;;
;2020-07-19 00:00:00;Partly cloudy;22.5;0;;
;2020-07-20 00:00:00;Overcast;21;0;;
;2020-07-21 00:00:00;Partly cloudy;20;0;;
;2020-07-22 00:00:00;Partly cloudy;20;0;;
;2020-07-23 00:00:00;Partly cloudy;19.5;0;;
;2020-07-24 00:00:00;Partly cloudy;20;0;;
;2020-07-25 00:00:00;Overcast;19.5;0;;
;2020-07-26 00:00:00;Light rain shower;20.5;0.8;;
;2020-07-27 00:00:00;Partly cloudy;22;0;;
;2020-07-28 00:00:00;Overcast;20.5;0;;
;2020-07-29 00:00:00;Partly cloudy;19;0;;
;2020-07-30 00:00:00;Sunny;22.5;0;;
;2020-07-31 00:00:00;Patchy rain possible;28.5;0.4;;
;2020-08-01 00:00:00;Patchy rain possible;23;0.3;;
;2020-08-02 00:00:00;Cloudy;19.5;0;;
;2020-08-03 00:00:00;Overcast;18;0;;
;2020-08-04 00:00:00;Partly cloudy;18;0;;
;2020-08-05 00:00:00;Partly cloudy;22.5;0;;
;2020-08-06 00:00:00;Sunny;25.5;0;;
;2020-08-07 00:00:00;Sunny;27;0;;
;2020-08-08 00:00:00;Partly cloudy;28.5;0;;
;2020-08-09 00:00:00;Partly cloudy;28;0.1;;
;2020-08-10 00:00:00;Partly cloudy;28.5;0.3;;
;2020-08-11 00:00:00;Patchy light rain in area with thunder;28.5;10.4;;
;2020-08-12 00:00:00;Patchy light rain in area with thunder;26;10.1;;
;2020-08-13 00:00:00;Light rain shower;20;13.2;;
;2020-08-14 00:00:00;Light rain shower;19.5;3;;
;2020-08-15 00:00:00;Overcast;22;0.1;;
;2020-08-16 00:00:00;Patchy light rain in area with thunder;21.5;2.3;;
;2020-08-17 00:00:00;Light rain shower;19;6.5;;
;2020-08-18 00:00:00;Cloudy;21;0.3;;
;2020-08-19 00:00:00;Light drizzle;22;0.5;;
;2020-08-20 00:00:00;Partly cloudy;24.5;0;;
;2020-08-21 00:00:00;Overcast;22.5;0;;
;2020-08-22 00:00:00;Patchy rain possible;20;0.1;;
;2020-08-23 00:00:00;Patchy rain possible;17.5;0.1;;
;2020-08-24 00:00:00;Cloudy;18;0;;
;2020-08-25 00:00:00;Partly cloudy;21;0;;
;2020-08-26 00:00:00;Patchy rain possible;20;0.1;;
;2020-08-27 00:00:00;Cloudy;19;0.1;;
;2020-08-28 00:00:00;Light rain shower;18.5;2.6;;
;2020-08-29 00:00:00;Light rain shower;15.5;2.7;;
;2020-08-30 00:00:00;Light rain shower;14;7.5;;
;2020-08-31 00:00:00;Partly cloudy;15.5;0;;
;2020-09-01 00:00:00;Partly cloudy;16;0;;
;2020-09-02 00:00:00;Partly cloudy;16.5;0;;
;2020-09-03 00:00:00;Partly cloudy;19.5;0;;
;2020-09-04 00:00:00;Partly cloudy;23.5;0;;
;2020-09-05 00:00:00;Partly cloudy;17.5;0;;
;2020-09-06 00:00:00;Cloudy;15;0;;
;2020-09-07 00:00:00;Partly cloudy;17;0;;
;2020-09-08 00:00:00;Partly cloudy;19.5;0;;
;2020-09-09 00:00:00;Partly cloudy;20.5;0;;
;2020-09-10 00:00:00;Partly cloudy;21;0;;
;2020-09-11 00:00:00;Partly cloudy;22.5;0;;
;2020-09-12 00:00:00;Partly cloudy;21;0;;
;2020-09-13 00:00:00;Sunny;22;0;;
;2020-09-14 00:00:00;Partly cloudy;26.5;0;;
;2020-09-15 00:00:00;Partly cloudy;26;0.1;;
;2020-09-16 00:00:00;Patchy rain possible;25;0.8;;
;2020-09-17 00:00:00;Partly cloudy;24.5;0.2;;
;2020-09-18 00:00:00;Partly cloudy;23.5;0;;
;2020-09-19 00:00:00;Light rain shower;20;10.5;;
;2020-09-20 00:00:00;Light rain shower;21;10.6;;
;2020-09-21 00:00:00;Patchy rain possible;21;1.1;;
;2020-09-22 00:00:00;Overcast;18;2.5;;
;2020-09-23 00:00:00;Light rain shower;18;6.9;;
;2020-09-24 00:00:00;Light rain shower;14;4.7;;
;2020-09-25 00:00:00;Light rain shower;11.5;4.1;;
;2020-09-26 00:00:00;Light rain shower;11.5;1.3;;
;2020-09-27 00:00:00;Light rain;9.5;7.5;;
;2020-09-28 00:00:00;Light drizzle;13;0.5;;
;2020-09-29 00:00:00;Light rain shower;16;2.9;;
;2020-09-30 00:00:00;Light rain shower;16;0.8;;
;2020-10-01 00:00:00;Light rain shower;14;18;;
;2020-10-02 00:00:00;Light rain shower;12;12.5;;
;2020-10-03 00:00:00;Light rain;10.5;6.8;;
;2020-10-04 00:00:00;Light rain shower;11.5;10.9;;
;2020-10-05 00:00:00;Light rain;12.5;0.9;;
;2020-10-06 00:00:00;Light rain shower;13.5;3.6;;
;2020-10-07 00:00:00;Patchy rain possible;13.5;0.7;;
;2020-10-08 00:00:00;Patchy rain possible;16;0.1;;
;2020-10-09 00:00:00;Moderate rain;13;10.9;;
;2020-10-10 00:00:00;Patchy rain possible;11.5;0.2;;
;2020-10-11 00:00:00;Light rain shower;11;1.8;;
;2020-10-12 00:00:00;Overcast;10;1.3;;
;2020-10-13 00:00:00;Light rain shower;10;7.4;;
;2020-10-14 00:00:00;Light rain shower;9.5;5.7;;
;2020-10-15 00:00:00;Patchy rain possible;8.5;0.3;;
;2020-10-16 00:00:00;Cloudy;8;0;;
;2020-10-17 00:00:00;Partly cloudy;10.5;0;;
;2020-10-18 00:00:00;Partly cloudy;11;0;;
;2020-10-19 00:00:00;Partly cloudy;10.5;0;;
;2020-10-20 00:00:00;Light drizzle;14.5;2.5;;
;2020-10-21 00:00:00;Light rain shower;16;5.2;;
;2020-10-22 00:00:00;Light rain shower;17.5;2.6;;
;2020-10-23 00:00:00;Patchy rain possible;14.5;0.8;;
;2020-10-24 00:00:00;Light rain shower;14.5;2.3;;
;2020-10-25 00:00:00;Light rain shower;12;21.3;;
;2020-10-26 00:00:00;Patchy rain possible;10;1.9;;
;2020-10-27 00:00:00;Light rain shower;8;6.8;;
;2020-10-28 00:00:00;Light rain shower;11.5;4.3;;
;2020-10-29 00:00:00;Overcast;14.5;0;;
;2020-10-30 00:00:00;Mist;14.5;0;;
;2020-10-31 00:00:00;Overcast;13;0.2;;
;2020-11-01 00:00:00;Light rain;15.5;4;;
;2020-11-02 00:00:00;Light rain;15;1.7;;
;2020-11-03 00:00:00;Patchy rain possible;9;0.2;;
;2020-11-04 00:00:00;Partly cloudy;7.5;0;;
;2020-11-05 00:00:00;Partly cloudy;8;0;;
;2020-11-06 00:00:00;Partly cloudy;10;0;;
;2020-11-07 00:00:00;Overcast;14.5;1.8;;
;2020-11-08 00:00:00;Patchy light drizzle;15.5;2.9;;
;2020-11-09 00:00:00;Cloudy;13.5;0.3;;
;2020-11-10 00:00:00;Partly cloudy;13;0.1;;
;2020-11-11 00:00:00;Mist;11.5;0;;
;2020-11-12 00:00:00;Overcast;12.5;0.1;;
;2020-11-13 00:00:00;Patchy rain possible;11.5;0.2;;
;2020-11-14 00:00:00;Cloudy;13.5;0;;
;2020-11-15 00:00:00;Moderate rain;12;7.1;;
;2020-11-16 00:00:00;Patchy rain possible;11;0.1;;
;2020-11-17 00:00:00;Partly cloudy;10.5;0;;
;2020-11-18 00:00:00;Partly cloudy;12;0;;
;2020-11-19 00:00:00;Cloudy;9;0.1;;
;2020-11-20 00:00:00;Cloudy;7;0;;
;2020-11-21 00:00:00;Partly cloudy;7;0;;
;2020-11-22 00:00:00;Partly cloudy;7;0;;
;2020-11-23 00:00:00;Partly cloudy;8;0;;
;2020-11-24 00:00:00;Partly cloudy;7;0;;
;2020-11-25 00:00:00;Overcast;10;0;;
;2020-11-26 00:00:00;Cloudy;9.5;0;;
;2020-11-27 00:00:00;Cloudy;10.5;0;;
;2020-11-28 00:00:00;Partly cloudy;10;0;;
;2020-11-29 00:00:00;Sunny;6;0;;
;2020-11-30 00:00:00;Partly cloudy;4.5;0;;
;2020-12-01 00:00:00;Light rain;7;2;;
;2020-12-02 00:00:00;Patchy rain possible;6;0.5;;
;2020-12-03 00:00:00;Moderate rain;4;14.5;;
;2020-12-04 00:00:00;Light rain shower;4;16.1;;
;2020-12-05 00:00:00;Light drizzle;3.5;4.9;;
;2020-12-06 00:00:00;Light rain shower;4;0.4;;
;2020-12-07 00:00:00;Patchy rain possible;4;0.1;;
;2020-12-08 00:00:00;Light drizzle;4;1.7;;
;2020-12-09 00:00:00;Overcast;3.5;0.1;;
;2020-12-10 00:00:00;Moderate rain;6.5;11.1;;
;2020-12-11 00:00:00;Light rain shower;10;21.9;;
;2020-12-12 00:00:00;Light rain;7.5;3.1;;
;2020-12-13 00:00:00;Light drizzle;5.5;0.8;;
;2020-12-14 00:00:00;Light rain;8;6.9;;
;2020-12-15 00:00:00;Moderate rain;9;7.9;;
;2020-12-16 00:00:00;Partly cloudy;8.5;0.1;;
;2020-12-17 00:00:00;Light rain;9.5;3.1;668;
;2020-12-18 00:00:00;Mist;8.5;0;1285;
;2020-12-19 00:00:00;Light rain shower;9.5;5.1;704;
;2020-12-20 00:00:00;Patchy rain possible;9;0.2;1220;
;2020-12-21 00:00:00;Light drizzle;9.5;1.2;607;
;2020-12-22 00:00:00;Light rain;13;4;685;
;2020-12-23 00:00:00;Light drizzle;11;0.6;720;
;2020-12-24 00:00:00;Patchy light rain;6;3.3;444;
;2020-12-25 00:00:00;Light drizzle;3;0.8;291;
;2020-12-26 00:00:00;Overcast;2.5;0;563;
;2020-12-27 00:00:00;Heavy rain;6;27.8;152;
;2020-12-28 00:00:00;Light rain shower;5;10.1;403;
;2020-12-29 00:00:00;Light rain shower;4;0.7;702;
;2020-12-30 00:00:00;Light sleet;2.5;1.2;852;
;2020-12-31 00:00:00;Light rain shower;3.5;2.9;670;
;2021-01-01 00:00:00;Partly cloudy;2;0;530;
;2021-01-02 00:00:00;Partly cloudy;1;0;782;
;2021-01-03 00:00:00;Moderate or heavy snow showers;2;0.3;572;
;2021-01-04 00:00:00;Heavy snow;-2.5;3.8;707;
;2021-01-05 00:00:00;Moderate snow;-0.5;1.1;888;
;2021-01-06 00:00:00;Moderate snow;0.5;0.5;906;
;2021-01-07 00:00:00;Light snow showers;1.5;0.2;1072;
;2021-01-08 00:00:00;Cloudy;1;0.1;909;
;2021-01-09 00:00:00;Cloudy;1;0;734;
;2021-01-10 00:00:00;Partly cloudy;1;0;849;
;2021-01-11 00:00:00;Partly cloudy;0.5;0;892;
;2021-01-12 00:00:00;Light rain;5;2.8;861;
;2021-01-13 00:00:00;Light rain;8.5;2.1;888;
;2021-01-14 00:00:00;Light rain shower;7.5;3.6;906;
;2021-01-15 00:00:00;Overcast;4;0.4;1094;
;2021-01-16 00:00:00;Light rain;-0.5;4.3;563;
;2021-01-17 00:00:00;Mist;3;0.3;1170;
;2021-01-18 00:00:00;Partly cloudy;4;0;1036;
;2021-01-19 00:00:00;Partly cloudy;4.5;0;1229;
;2021-01-20 00:00:00;Light drizzle;6;0.4;1024;
;2021-01-21 00:00:00;Moderate rain;8.5;19.7;746;
;2021-01-22 00:00:00;Heavy rain;5.5;32.8;934;
;2021-01-23 00:00:00;Light rain shower;3.5;14;593;
;2021-01-24 00:00:00;Moderate rain;3;7.7;583;
;2021-01-25 00:00:00;Cloudy;3;0;1134;
;2021-01-26 00:00:00;Partly cloudy;1.5;0.1;984;
;2021-01-27 00:00:00;Fog;5.5;1.2;864;
;2021-01-28 00:00:00;Light rain;10.5;6;791;
;2021-01-29 00:00:00;Light rain;10;8.7;1126;
;2021-01-30 00:00:00;Light rain shower;9.5;12.3;642;
;2021-01-31 00:00:00;Patchy rain possible;8;6.2;852;
;2021-02-01 00:00:00;Light rain shower;9;16;940;
;2021-02-02 00:00:00;Light rain;11;5.5;1010;
;2021-02-03 00:00:00;Light rain shower;9.5;12.8;892;
;2021-02-04 00:00:00;Light rain shower;9;2.6;995;
;2021-02-05 00:00:00;Patchy rain possible;8.5;1.5;1133;
;2021-02-06 00:00:00;Moderate rain;7.5;15.4;441;
;2021-02-07 00:00:00;Light drizzle;4;2.2;922;
;2021-02-08 00:00:00;Partly cloudy;1.5;0;925;
;2021-02-09 00:00:00;Patchy rain possible;-0.5;5.1;875;
;2021-02-10 00:00:00;Heavy snow;-2;10.8;750;
;2021-02-11 00:00:00;Partly cloudy;-2;0;772;
;2021-02-12 00:00:00;Patchy moderate snow;-2.5;5;707;
;2021-02-13 00:00:00;Overcast;-3;0;632;
;2021-02-14 00:00:00;Overcast;0.5;0;766;
;2021-02-15 00:00:00;Patchy rain possible;4;0.1;985;
;2021-02-16 00:00:00;Patchy rain possible;7.5;0.4;1110;
;2021-02-17 00:00:00;Patchy rain possible;9.5;0.2;1206;
;2021-02-18 00:00:00;Light rain;9;4.4;866;
;2021-02-19 00:00:00;Fog;9;0.1;1403;
;2021-02-20 00:00:00;Partly cloudy;13;0;1508;
;2021-02-21 00:00:00;Overcast;13;0;1720;
;2021-02-22 00:00:00;Overcast;12;0;974;
;2021-02-23 00:00:00;Overcast;12;0;1455;
;2021-02-24 00:00:00;Partly cloudy;13;0;1693;
;2021-02-25 00:00:00;Partly cloudy;11.5;0;1429;
;2021-02-26 00:00:00;Light drizzle;9;1.1;1256;
;2021-02-27 00:00:00;Partly cloudy;7;0;1255;
;2021-02-28 00:00:00;Partly cloudy;6.5;0;1345;
;2021-03-01 00:00:00;Partly cloudy;9;0;1202;
;2021-03-02 00:00:00;Partly cloudy;10.5;0;1220;
;2021-03-03 00:00:00;Overcast;11.5;0.3;1312;
;2021-03-04 00:00:00;Patchy rain possible;9.5;1.8;1041;
;2021-03-05 00:00:00;Overcast;4.5;0;961;
;2021-03-06 00:00:00;Partly cloudy;4;0;1243;
;2021-03-07 00:00:00;Sunny;5;0;1130;
;2021-03-08 00:00:00;Sunny;4;0;1377;
;2021-03-09 00:00:00;Partly cloudy;5.5;0;1456;
;2021-03-10 00:00:00;Cloudy;6;0;1212;
;2021-03-11 00:00:00;Moderate rain at times;9;11.4;947;
;2021-03-12 00:00:00;Light rain shower;7.5;1.7;1151;
;2021-03-13 00:00:00;Light rain shower;6.5;10.1;714;
;2021-03-14 00:00:00;Patchy rain possible;6;1.8;1105;
;2021-03-15 00:00:00;Light rain shower;7.5;1.8;980;
;2021-03-16 00:00:00;Overcast;8.5;0;1155;
;2021-03-17 00:00:00;Light rain shower;6.5;0.7;1356;
;2021-03-18 00:00:00;Patchy rain possible;5;0.2;1099;
;2021-03-19 00:00:00;Light drizzle;5.5;2.1;1175;
;2021-03-20 00:00:00;Partly cloudy;4.5;0;1297;
;2021-03-21 00:00:00;Mist;6;0.2;998;
;2021-03-22 00:00:00;Mist;6;0;1244;
;2021-03-23 00:00:00;Partly cloudy;7.5;0;1531;
;2021-03-24 00:00:00;Partly cloudy;9.5;0;1825;
;2021-03-25 00:00:00;Patchy light rain;9.5;5.3;1360;
;2021-03-26 00:00:00;Light rain;7.5;2.9;1296;
;2021-03-27 00:00:00;Partly cloudy;7.5;0;1424;
;2021-03-28 00:00:00;Partly cloudy;12.5;0;2155;
;2021-03-29 00:00:00;Partly cloudy;13;0;1582;
;2021-03-30 00:00:00;Sunny;16.5;0;1831;
;2021-03-31 00:00:00;Partly cloudy;16;0;1899;
;2021-04-01 00:00:00;Partly cloudy;17;0;1832;
;2021-04-02 00:00:00;Partly cloudy;12;0;1400;
;2021-04-03 00:00:00;Partly cloudy;7.5;0;1099;
;2021-04-04 00:00:00;Partly cloudy;8.5;0;1520;
;2021-04-05 00:00:00;Light rain shower;7;0.2;895;
;2021-04-06 00:00:00;Patchy rain possible;2.5;0.2;1160;
